task,n_bits,K_max,p,train_rows,aug_rows,acc_full,bacc
AND2,2,2,0.1,2,4,1.0,1.0
AND2,2,2,0.25,2,4,1.0,1.0
AND2,2,2,0.5,2,4,1.0,1.0
AND2,2,2,0.75,3,6,1.0,1.0
OR2,2,2,0.1,2,4,1.0,1.0
OR2,2,2,0.25,2,4,1.0,1.0
OR2,2,2,0.5,2,4,1.0,1.0
OR2,2,2,0.75,3,6,1.0,1.0
XOR2,2,2,0.1,2,8,1.0,1.0
XOR2,2,2,0.25,2,8,1.0,1.0
XOR2,2,2,0.5,2,8,1.0,1.0
XOR2,2,2,0.75,3,12,1.0,1.0
XNOR2,2,2,0.1,2,8,1.0,1.0
XNOR2,2,2,0.25,2,8,1.0,1.0
XNOR2,2,2,0.5,2,8,1.0,1.0
XNOR2,2,2,0.75,3,12,1.0,1.0
MAJ3,3,1,0.1,2,12,0.5,0.5
MAJ3,3,1,0.25,2,12,0.5,0.5
MAJ3,3,1,0.5,4,24,1.0,1.0
MAJ3,3,1,0.75,6,36,1.0,1.0
MUX3,3,2,0.1,2,4,0.75,0.75
MUX3,3,2,0.25,2,4,0.75,0.75
MUX3,3,2,0.5,4,8,0.75,0.75
MUX3,3,2,0.75,6,12,1.0,1.0
